9110 23683
0 1423 39.07
0 1 122.25
0 4635 78.36
1 2 24.76
1 1081 40.26
1 0 122.25
1 1082 76.08
2 1 24.76
3 4022 98.74
3 4021 46.52
3 2455 135.81
4 2455 39.29
5 6 209.42
5 6320 153.52
5 811 95.31
6 7 171.45
6 5 209.42
6 2205 49.57
6 34 86.26
7 6 171.45
7 8086 54.25
7 35 73.05
8 9 122.10
8 2068 134.86
8 9098 109.04
8 5777 86.42
9 8 122.10
9 10 136.51
9 6163 168.62
9 9099 209.37
10 9 136.51
10 11 124.22
10 1574 173.82
11 12 48.73
11 10 124.22
11 1575 178.65
12 11 48.73
12 1510 126.79
12 6973 72.13
13 6973 17.93
13 4931 163.54
13 14 48.03
14 4162 329.07
14 13 48.03
14 15 73.60
15 3116 242.50
15 16 119.13
15 14 73.60
16 17 102.74
16 4937 101.16
16 15 119.13
17 16 102.74
17 18 105.35
17 3118 357.40
18 17 105.35
18 4508 37.36
18 19 109.08
18 2209 199.55
19 20 41.89
19 3052 230.06
19 18 109.08
20 4509 52.03
20 21 50.65
20 19 41.89
21 22 91.87
21 20 50.65
21 3053 260.13
22 23 20.15
22 21 91.87
22 2241 253.81
23 2244 70.23
23 24 143.46
23 22 20.15
24 2779 82.38
24 25 106.35
24 23 143.46
24 2778 238.21
25 6017 231.00
25 24 106.35
25 26 105.68
26 3210 107.67
26 25 105.68
26 3209 229.68
26 27 91.31
27 2128 196.83
27 170 118.98
27 28 89.14
27 26 91.31
28 2726 195.63
28 29 86.26
28 27 89.14
29 1552 195.47
29 28 86.26
30 31 34.30
30 3865 214.98
31 30 34.30
31 6298 89.02
31 6297 95.35
31 32 78.75
32 8135 10.60
32 31 78.75
32 4698 329.47
33 34 285.04
33 5273 86.81
33 8135 127.27
34 33 285.04
34 35 98.63
34 6 86.26
34 1373 93.05
35 34 98.63
35 2201 64.16
35 8084 80.11
35 7 73.05
36 1625 91.04
36 1624 136.29
36 37 116.54
36 8084 101.36
37 8133 93.53
37 38 175.85
37 36 116.54
38 37 175.85
38 5736 101.71
38 114 81.87
38 39 93.09
39 6362 235.65
39 5737 108.73
39 40 62.51
39 38 93.09
40 3143 119.24
40 41 65.16
40 4181 50.26
40 39 62.51
41 1355 54.39
41 1354 114.88
41 40 65.16
41 4182 99.61
