1000 1164
0 1 122.25
1 2 24.76
1 0 122.25
2 1 24.76
5 6 209.42
5 811 95.31
6 7 171.45
6 5 209.42
6 34 86.26
7 6 171.45
7 35 73.05
8 9 122.10
9 8 122.10
9 10 136.51
10 9 136.51
10 11 124.22
11 12 48.73
11 10 124.22
12 11 48.73
13 14 48.03
14 13 48.03
14 15 73.60
15 16 119.13
15 14 73.60
16 17 102.74
16 15 119.13
17 16 102.74
17 18 105.35
18 17 105.35
18 19 109.08
19 20 41.89
19 18 109.08
20 21 50.65
20 19 41.89
21 22 91.87
21 20 50.65
22 23 20.15
22 21 91.87
23 24 143.46
23 22 20.15
24 25 106.35
24 23 143.46
25 24 106.35
25 26 105.68
26 25 105.68
26 27 91.31
27 170 118.98
27 28 89.14
27 26 91.31
28 29 86.26
28 27 89.14
29 28 86.26
30 31 34.30
31 30 34.30
31 32 78.75
32 31 78.75
33 34 285.04
34 33 285.04
34 35 98.63
34 6 86.26
35 34 98.63
35 7 73.05
36 37 116.54
37 38 175.85
37 36 116.54
38 37 175.85
38 114 81.87
38 39 93.09
39 40 62.51
39 38 93.09
40 41 65.16
40 39 62.51
41 40 65.16
42 43 88.53
43 44 54.50
43 42 88.53
44 43 54.50
49 495 182.52
50 307 84.98
52 53 91.46
53 52 91.46
53 155 167.03
57 658 278.66
58 293 194.98
59 656 82.60
62 865 97.00
69 70 89.18
69 770 97.28
70 69 89.18
77 274 325.82
85 964 84.28
86 974 182.15
86 973 67.86
88 141 232.27
89 303 103.95
93 94 24.57
94 93 24.57
95 894 97.25
95 895 125.00
102 103 53.74
103 102 53.74
103 129 79.99
104 105 556.38
105 104 556.38
107 108 43.65
108 107 43.65
111 879 77.28
111 878 135.05
114 38 81.87
115 730 31.63
121 230 91.84
125 765 90.38
129 103 79.99
135 136 146.44
136 135 146.44
141 689 339.99
141 88 232.27
141 222 49.44
142 327 142.77
142 326 186.21
142 143 77.31
143 142 77.31
144 144 0.00
144 144 0.00
147 148 46.17
148 147 46.17
149 478 47.58
152 788 159.96
155 53 167.03
156 157 38.92
157 156 38.92
160 999 201.49
163 276 17.49
165 166 41.35
166 165 41.35
168 782 40.54
169 591 88.14
170 170 0.00
170 170 0.00
170 27 118.98
173 302 115.69
174 175 29.49
175 174 29.49
176 177 52.77
177 176 52.77
178 179 152.72
178 290 355.46
178 404 86.21
179 178 152.72
201 908 38.95
202 203 30.05
202 205 410.74
203 202 30.05
205 202 410.74
209 210 27.79
210 209 27.79
215 216 40.22
216 215 40.22
217 218 89.78
218 217 89.78
219 743 45.30
221 727 36.08
221 728 73.32
222 141 49.44
223 940 80.61
225 226 44.73
226 225 44.73
228 229 41.58
228 712 209.52
229 228 41.58
230 875 58.53
230 121 91.84
236 237 52.90
237 236 52.90
242 627 99.06
245 965 101.44
245 246 91.34
246 245 91.34
247 248 65.76
248 247 65.76
249 248 6.37
250 251 217.18
251 250 217.18
252 253 22.29
252 468 87.76
253 252 22.29
255 256 24.35
256 255 24.35
266 348 45.34
266 349 27.47
267 349 101.95
268 269 93.24
269 268 93.24
272 273 137.80
273 272 137.80
274 77 325.82
276 163 17.49
282 575 190.11
284 285 49.47
285 284 49.47
290 178 355.46
293 657 21.73
293 58 194.98
293 658 94.85
294 295 49.48
295 294 49.48
296 297 68.26
297 298 55.16
297 296 68.26
298 297 55.16
298 299 74.07
299 298 74.07
299 300 77.63
300 322 94.16
300 299 77.63
302 173 115.69
302 777 154.58
303 89 103.95
303 304 164.22
303 852 80.64
304 303 164.22
304 853 84.01
306 307 11.03
307 306 11.03
307 308 71.81
307 50 84.98
308 307 71.81
308 309 226.86
309 308 226.86
310 311 288.47
311 310 288.47
312 313 82.84
312 315 90.10
313 312 82.84
314 315 194.69
315 314 194.69
315 312 90.10
318 319 94.84
319 318 94.84
319 320 62.78
320 321 109.80
320 319 62.78
321 322 26.08
321 320 109.80
322 321 26.08
322 300 94.16
322 485 188.66
323 324 69.78
324 325 50.29
324 323 69.78
325 326 137.63
325 324 50.29
326 142 186.21
326 325 137.63
327 142 142.77
328 329 67.75
329 328 67.75
329 330 125.47
330 331 121.07
332 333 57.06
332 524 88.56
333 332 57.06
335 336 134.97
336 335 134.97
336 337 97.21
337 338 121.35
337 336 97.21
338 339 62.65
338 337 121.35
339 338 62.65
342 335 104.50
343 344 123.21
344 343 123.21
344 345 122.46
345 344 122.46
346 347 65.54
347 346 65.54
348 266 45.34
349 267 101.95
349 266 27.47
350 351 94.24
350 958 81.27
351 352 97.78
351 350 94.24
352 351 97.78
353 354 337.71
354 353 337.71
355 356 45.78
356 357 35.32
356 355 45.78
357 356 35.32
357 358 61.40
358 359 80.87
